Заголовок,Ссылка на объявление,Цена
"
Сдам 1-ю реальную квартиру возле метро Южный Вокзал
",https://www.olx.ua/obyavlenie/sdam-1-yu-realnuyu-kvartiru-vozle-metro-yuzhnyy-vokzal-IDEHkXI.html#318b7e08d9,"
3 500 грн.
"
"
Сдам гостинку 2ух уравневую, м. А. Павлова, Воробьевы Горы, все есть!
",https://www.olx.ua/obyavlenie/sdam-gostinku-2uh-uravnevuyu-m-a-pavlova-vorobevy-gory-vse-est-IDEHlf3.html#318b7e08d9,"
6 545 грн.
"
"
Сдам 2х уровневую квартиру.Прекрасное сочетание уюта и комфорта
",https://www.olx.ua/obyavlenie/sdam-2h-urovnevuyu-kvartiru-prekrasnoe-sochetanie-uyuta-i-komforta-IDBnomd.html#318b7e08d9,"
6 545 грн.
"
"
Сдам 2 к. кв. в новострое метро Академика Павлова
",https://www.olx.ua/obyavlenie/sdam-2-k-kv-v-novostroe-metro-akademika-pavlova-IDEHhXT.html#318b7e08d9,"
7 500 грн.
"
"
Сдам шикарную квартиру-студию на Салтовке
",https://www.olx.ua/obyavlenie/sdam-shikarnuyu-kvartiru-studiyu-na-saltovke-IDDAbyS.html#318b7e08d9,"
5 600 грн.
"
"
Сдается комната на Студенческой
",https://www.olx.ua/obyavlenie/sdaetsya-komnata-na-studencheskoy-IDEHixi.html#318b7e08d9,"
2 000 грн.
"
"
Аренда Супер 3к в Новострое на Пушкинской с паркингом
",https://www.olx.ua/obyavlenie/arenda-super-3k-v-novostroe-na-pushkinskoy-s-parkingom-IDqyvJG.html#318b7e08d9,"
28 786 грн.
"
"
Шикарная квартира, Салтовка.
",https://www.olx.ua/obyavlenie/shikarnaya-kvartira-saltovka-IDtrtwu.html#318b7e08d9,"
5 759 грн.
"
"
Сдам 3к квартиру, м.Героев Труда
",https://www.olx.ua/obyavlenie/sdam-3k-kvartiru-m-geroev-truda-IDEHhxD.html#318b7e08d9,"
9 000 грн.
"
"
Студенческая Можно Иностранцев
",https://www.olx.ua/obyavlenie/studencheskaya-mozhno-inostrantsev-IDEHh7o.html#318b7e08d9,"
6 500 грн.
"
"
Сдам 1 к. кв. в 522 м/р, м. Студенческая
",https://www.olx.ua/obyavlenie/sdam-1-k-kv-v-522-m-r-m-studencheskaya-IDEHhlf.html#318b7e08d9,"
6 000 грн.
"
"
Аренда 2к.кв. Новострой. Панорамный вид на город
",https://www.olx.ua/obyavlenie/arenda-2k-kv-novostroy-panoramnyy-vid-na-gorod-IDAPxjS.html#318b7e08d9,"
16 000 грн.
"
"
Срочно сдам 1 к квартиру на Павловом Поле!
",https://www.olx.ua/obyavlenie/srochno-sdam-1-k-kvartiru-na-pavlovom-pole-IDE17t0.html#318b7e08d9,"
7 853 грн.
"
"
Сдам свою 3-х ком.кв. с мебелью. 6500
",https://www.olx.ua/obyavlenie/sdam-svoyu-3-h-kom-kv-s-mebelyu-6500-IDDkjQt.html#318b7e08d9,"
6 500 грн.
"
"
сдам в аренду свою 2-х комнатную квартиру р-н ЮЖД
",https://www.olx.ua/obyavlenie/sdam-v-arendu-svoyu-2-h-komnatnuyu-kvartiru-r-n-yuzhd-IDCus4J.html#413e89b28b;promoted,"
7 300 грн.
"
"
Сдам свою однокомнатную ЖК Журавлеский
",https://www.olx.ua/obyavlenie/sdam-svoyu-odnokomnatnuyu-zhk-zhuravleskiy-IDEGV0j.html#413e89b28b;promoted,"
8 000 грн.
"
"
Аренда Новая 2 к.кв. студия Центр Пушкинская Новострой ЖК Млечный путь
",https://www.olx.ua/obyavlenie/arenda-novaya-2-k-kv-studiya-tsentr-pushkinskaya-novostroy-zhk-mlechnyy-put-IDEGTIK.html#413e89b28b;promoted,"
15 701 грн.
"
"
Сдам 3-х комнатную евро квартиру возле метро Академика Павлова
",https://www.olx.ua/obyavlenie/sdam-3-h-komnatnuyu-evro-kvartiru-vozle-metro-akademika-pavlova-IDEG6yc.html#413e89b28b;promoted,"
15 000 грн.
"
"
Центр аренда 2 х комн. кв. 75 м2 ул. Пушкинская 550$
",https://www.olx.ua/obyavlenie/tsentr-arenda-2-h-komn-kv-75-m2-ul-pushkinskaya-550-IDEy2aO.html#413e89b28b;promoted,"
14 413 грн.
"
"
Сдам 1 комн гостинку
",https://www.olx.ua/obyavlenie/sdam-1-komn-gostinku-IDEHfNL.html#413e89b28b,"
5 500 грн.
"
"
Сдается новая гостинка
",https://www.olx.ua/obyavlenie/sdaetsya-novaya-gostinka-IDBahpR.html#413e89b28b,"
6 500 грн.
"
"
Сдам комнату м Победы, 3 мин. метро; на любой срок!
",https://www.olx.ua/obyavlenie/sdam-komnatu-m-pobedy-3-min-metro-na-lyuboy-srok-IDEHewj.html#413e89b28b,"
2 300 грн.
"
"
Сдам срочно квартиру. ЖК ""Бестужевские Сады""
",https://www.olx.ua/obyavlenie/sdam-srochno-kvartiru-zhk-bestuzhevskie-sady-IDA7GBm.html#413e89b28b,"
6 021 грн.
"
"
Сдам комнату м.,Студенческая.
",https://www.olx.ua/obyavlenie/sdam-komnatu-m-studencheskaya-IDE8tXO.html#413e89b28b,"
2 300 грн.
"
"
Сдам 2-х ком. кв-ру на Салтовке м.Студенческая
",https://www.olx.ua/obyavlenie/sdam-2-h-kom-kv-ru-na-saltovke-m-studencheskaya-IDCGqqS.html#413e89b28b;promoted,"
11 793 грн.
"
"
Сдам изолированную гостинку. Срочно!
",https://www.olx.ua/obyavlenie/sdam-izolirovannuyu-gostinku-srochno-IDBae3V.html#413e89b28b,"
6 027 грн.
"
"
Cдам квартиру в центре! Метро Пушкинская!
",https://www.olx.ua/obyavlenie/cdam-kvartiru-v-tsentre-metro-pushkinskaya-IDEHcKZ.html#413e89b28b,"
9 000 грн.
"
"
Сдам 1-ю квартиру м Ак. Павлова, Ул. Гв.-Широнинцев 27
",https://www.olx.ua/obyavlenie/sdam-1-yu-kvartiru-m-ak-pavlova-ul-gv-shironintsev-27-IDEHcsp.html#413e89b28b,"
5 800 грн.
"
"
Сдам квартиру
",https://www.olx.ua/obyavlenie/sdam-kvartiru-IDEDGuc.html#413e89b28b;promoted,"
4 500 грн.
"
"
Сдам 2х-уровневую квартиру в новострое.
",https://www.olx.ua/obyavlenie/sdam-2h-urovnevuyu-kvartiru-v-novostroe-IDAk5xu.html#413e89b28b,"
7 076 грн.
"
"
Сдам комнату рядом с метро Героев труда
",https://www.olx.ua/obyavlenie/sdam-komnatu-ryadom-s-metro-geroev-truda-IDEy0GS.html#413e89b28b;promoted,"
2 500 грн.
"
"
Сдаю стильную квартиру-студию
",https://www.olx.ua/obyavlenie/sdayu-stilnuyu-kvartiru-studiyu-IDEwFgK.html#413e89b28b;promoted,"
5 765 грн.
"
"
Сдам 1-ую квартиру м.Студенческая 7 минут
",https://www.olx.ua/obyavlenie/sdam-1-uyu-kvartiru-m-studencheskaya-7-minut-IDDRHrD.html#413e89b28b,"
5 300 грн.
"
"
Однокомнатная квартира. Сдам, срочно!
",https://www.olx.ua/obyavlenie/odnokomnatnaya-kvartira-sdam-srochno-IDBabEF.html#413e89b28b,"
6 300 грн.
"
"
Сдам 1 ком.кв.на пос.Жуковского.Хозяйка
",https://www.olx.ua/obyavlenie/sdam-1-kom-kv-na-pos-zhukovskogo-hozyayka-IDEH9VI.html#413e89b28b,"
6 000 грн.
"
"
сдам 2-к СВОЮ квартиру в центре
",https://www.olx.ua/obyavlenie/sdam-2-k-svoyu-kvartiru-v-tsentre-IDBesMJ.html#413e89b28b,"
17 034 грн.
"
"
Сдам свою 1-ю квартиру в центре города, 5 мин. от метро
",https://www.olx.ua/obyavlenie/sdam-svoyu-1-yu-kvartiru-v-tsentre-goroda-5-min-ot-metro-IDEyatm.html#413e89b28b;promoted,"
10 000 грн.
"
"
Собственник! Сдается 2-х комнатная квартира на Салтовке.
",https://www.olx.ua/obyavlenie/sobstvennik-sdaetsya-2-h-komnatnaya-kvartira-na-saltovke-IDEeLKl.html#413e89b28b;promoted,"
7 000 грн.
"
"
Первая сдача! Двухуровневая квартира в новострое!
",https://www.olx.ua/obyavlenie/pervaya-sdacha-dvuhurovnevaya-kvartira-v-novostroe-IDBbc8H.html#413e89b28b,"
8 400 грн.
"
"
Сдам свою шикарную 3-х комнатную кв-ру ,ремонт 2018 года, Пески,522мрн
",https://www.olx.ua/obyavlenie/sdam-svoyu-shikarnuyu-3-h-komnatnuyu-kv-ru-remont-2018-goda-peski-522mrn-IDCsYpH.html#413e89b28b;promoted,"
13 500 грн.
"
"
Сдам квартиру на длительный срок ул Пушкинская 28
",https://www.olx.ua/obyavlenie/sdam-kvartiru-na-dlitelnyy-srok-ul-pushkinskaya-28-IDEH8EE.html#413e89b28b,"
3 000 грн.
"
"
Сдаю 1 к. квартиру на C. Салтовке. Метро – 10 мин.
",https://www.olx.ua/obyavlenie/sdayu-1-k-kvartiru-na-c-saltovke-metro-10-min-IDEtESH.html#413e89b28b;promoted,"
5 500 грн.
"
"
Сдам квартиру
",https://www.olx.ua/obyavlenie/sdam-kvartiru-IDEH6tJ.html#413e89b28b,"
5 000 грн.
"
"
Сдам стильную 2х этажную квартиру с евроремонтом в новострое!
",https://www.olx.ua/obyavlenie/sdam-stilnuyu-2h-etazhnuyu-kvartiru-s-evroremontom-v-novostroe-IDBbbax.html#413e89b28b,"
7 862 грн.
"
"
Сдам свою(хозяйка)1комн.кв-ру у м.Гер.Труда прямо напротив Дафи
",https://www.olx.ua/obyavlenie/sdam-svoyuhozyayka1komn-kv-ru-u-m-ger-truda-pryamo-naprotiv-dafi-IDEH7F0.html#413e89b28b,"
6 200 грн.
"
"
Сдается двухуровневая квартира-студия!
",https://www.olx.ua/obyavlenie/sdaetsya-dvuhurovnevaya-kvartira-studiya-IDBbao6.html#413e89b28b,"
6 806 грн.
"
"
2комн.квартира в центре,метро Бекетова 2минуты
",https://www.olx.ua/obyavlenie/2komn-kvartira-v-tsentre-metro-beketova-2minuty-IDCXp5W.html#413e89b28b,"
11 793 грн.
"
"
Сдам СВОЮ 2-к квартиру студию м. Героев труда
",https://www.olx.ua/obyavlenie/sdam-svoyu-2-k-kvartiru-studiyu-m-geroev-truda-IDEp9k9.html#413e89b28b,"
12 000 грн.
"
"
Аренда 3 квартиры, м. Героев Труда, Университет, Шишковка, Жуковского
",https://www.olx.ua/obyavlenie/arenda-3-kvartiry-m-geroev-truda-universitet-shishkovka-zhukovskogo-IDDWvqA.html#413e89b28b;promoted,"
5 000 грн.
"
"
Сдам квартиру
",https://www.olx.ua/obyavlenie/sdam-kvartiru-IDEET3z.html#413e89b28b;promoted,"
7 000 грн.
"
"
Центр аренда 2 х комн. кв. 75 м2 ул. Пушкинская 550$
",https://www.olx.ua/obyavlenie/tsentr-arenda-2-h-komn-kv-75-m2-ul-pushkinskaya-550-IDEy2aO.html#413e89b28b;promoted,"
14 413 грн.
"
"
Сдам 1-к кв. м. Г. Труда, 5 мин. Салтовка.
",https://www.olx.ua/obyavlenie/sdam-1-k-kv-m-g-truda-5-min-saltovka-IDEH34e.html#413e89b28b,"
4 500 грн.
"
"
Сдам однокомнатную квартиру м. Студенческая
",https://www.olx.ua/obyavlenie/sdam-odnokomnatnuyu-kvartiru-m-studencheskaya-IDECaZ0.html#413e89b28b;promoted,"
6 545 грн.
"
"
сдам в аренду свою 2-х комнатную квартиру р-н ЮЖД
",https://www.olx.ua/obyavlenie/sdam-v-arendu-svoyu-2-h-komnatnuyu-kvartiru-r-n-yuzhd-IDCus4J.html#413e89b28b;promoted,"
7 300 грн.
"
"
Сдам СВОЮ 2 комнатную квартиру 522м/р, 1 минута метро студенческая
",https://www.olx.ua/obyavlenie/sdam-svoyu-2-komnatnuyu-kvartiru-522m-r-1-minuta-metro-studencheskaya-IDCM12y.html#413e89b28b,"
8 000 грн.
"
"
Сдам свою однокомнатную ЖК Журавлеский
",https://www.olx.ua/obyavlenie/sdam-svoyu-odnokomnatnuyu-zhk-zhuravleskiy-IDEGV0j.html#413e89b28b;promoted,"
8 000 грн.
"
"
1к квартира Салтовка
",https://www.olx.ua/obyavlenie/1k-kvartira-saltovka-IDEvo1s.html#413e89b28b,"
5 000 грн.
"
"
Аренда Новая 2 к.кв. студия Центр Пушкинская Новострой ЖК Млечный путь
",https://www.olx.ua/obyavlenie/arenda-novaya-2-k-kv-studiya-tsentr-pushkinskaya-novostroy-zhk-mlechnyy-put-IDEGTIK.html#413e89b28b;promoted,"
15 701 грн.
"
"
Сдам свою шикарную 3-х комнатную кв-ру ,ремонт 2018 года, Пески,522мрн
",https://www.olx.ua/obyavlenie/sdam-svoyu-shikarnuyu-3-h-komnatnuyu-kv-ru-remont-2018-goda-peski-522mrn-IDCsYpH.html#6cb1c79bfd;promoted,"
13 500 грн.
"
"
Сдам 2х комн. квартиру в центре
",https://www.olx.ua/obyavlenie/sdam-2h-komn-kvartiru-v-tsentre-IDEEiCC.html#6cb1c79bfd;promoted,"
13 000 грн.
"
"
Квартира, гостинка Воробьёвы горы
",https://www.olx.ua/obyavlenie/kvartira-gostinka-vorobevy-gory-IDBPRhR.html#6cb1c79bfd;promoted,"
5 700 грн.
"
"
Аренда 3к Центр Новострой Дом Premium класса, ул. Чернышевского д.30
",https://www.olx.ua/obyavlenie/arenda-3k-tsentr-novostroy-dom-premium-klassa-ul-chernyshevskogo-d-30-IDEBHa5.html#6cb1c79bfd;promoted,"
34 068 грн.
"
"
Аренда 1к Новострой Центр Пушкинская Шевченко Паркинг Закрытый комплек
",https://www.olx.ua/obyavlenie/arenda-1k-novostroy-tsentr-pushkinskaya-shevchenko-parking-zakrytyy-komplek-IDChmu8.html#6cb1c79bfd;promoted,"
10 000 грн.
"
"
Сдам квартиру возле метро АК. Павлова
",https://www.olx.ua/obyavlenie/sdam-kvartiru-vozle-metro-ak-pavlova-IDEGQpM.html#6cb1c79bfd,"
6 545 грн.
"
"
Сдается своя 2-х комнатная квартира ул. Чкалова, рядом с ХАИ
",https://www.olx.ua/obyavlenie/sdaetsya-svoya-2-h-komnatnaya-kvartira-ul-chkalova-ryadom-s-hai-IDDVj46.html#6cb1c79bfd,"
6 000 грн.
"
"
Уютная комната девушке. От хозяйки!
",https://www.olx.ua/obyavlenie/uyutnaya-komnata-devushke-ot-hozyayki-IDAOs9V.html#6cb1c79bfd,"
2 600 грн.
"
"
Сдам свою 1 комн. квартиру. ст. м. Героев труда
",https://www.olx.ua/obyavlenie/sdam-svoyu-1-komn-kvartiru-st-m-geroev-truda-IDEGQeq.html#6cb1c79bfd,"
6 000 грн.
"
"
Сдам 3 комнатную квартиру в новострое м. Академика Павлова
",https://www.olx.ua/obyavlenie/sdam-3-komnatnuyu-kvartiru-v-novostroe-m-akademika-pavlova-IDEGPsq.html#6cb1c79bfd;promoted,"
10 471 грн.
"
"
Сдам 2 комн. квартиру м. Студенческая
",https://www.olx.ua/obyavlenie/sdam-2-komn-kvartiru-m-studencheskaya-IDEGP7h.html#6cb1c79bfd,"
11 776 грн.
"
"
7 мин от м. Холодная Гора
",https://www.olx.ua/obyavlenie/7-min-ot-m-holodnaya-gora-IDEGNT2.html#6cb1c79bfd,"
5 000 грн.
"
"
Аренда 1к Новострой Центр Пушкинская Шевченко Паркинг Закрытый комплек
",https://www.olx.ua/obyavlenie/arenda-1k-novostroy-tsentr-pushkinskaya-shevchenko-parking-zakrytyy-komplek-IDChmu8.html#6cb1c79bfd;promoted,"
10 000 грн.
"
"
Сдам 1 ком кв м.Конституции 5 минут пешком
",https://www.olx.ua/obyavlenie/sdam-1-kom-kv-m-konstitutsii-5-minut-peshkom-IDEGNsr.html#6cb1c79bfd,"
6 000 грн.
"
"
Сдам квартиру
",https://www.olx.ua/obyavlenie/sdam-kvartiru-IDEGN22.html#6cb1c79bfd,"
6 500 грн.
"
"
Комната для студентки от хозяев, пос. Жуковского.
",https://www.olx.ua/obyavlenie/komnata-dlya-studentki-ot-hozyaev-pos-zhukovskogo-IDEme7V.html#6cb1c79bfd,"
2 700 грн.
"
"
Сдам квартиру в центре, Сумская, м.Университет.
",https://www.olx.ua/obyavlenie/sdam-kvartiru-v-tsentre-sumskaya-m-universitet-IDEGFug.html#6cb1c79bfd,"
15 724 грн.
"
"
Сдам уютную 2-х комнатную квартиру в центр города м. Пушкинская
",https://www.olx.ua/obyavlenie/sdam-uyutnuyu-2-h-komnatnuyu-kvartiru-v-tsentr-goroda-m-pushkinskaya-IDC6UjA.html#6cb1c79bfd,"
12 565 грн.
"
"
Сдам комнату м Барабашово для девочки
",https://www.olx.ua/obyavlenie/sdam-komnatu-m-barabashovo-dlya-devochki-IDEGEwe.html#6cb1c79bfd,"
2 000 грн.
"
"
Сдам комнату м Героев Труда для мальчика
",https://www.olx.ua/obyavlenie/sdam-komnatu-m-geroev-truda-dlya-malchika-IDEGEmR.html#6cb1c79bfd,"
2 500 грн.
"
"
Аренда Дизайнерская 2к Новострой Центр . Реальный вариант
",https://www.olx.ua/obyavlenie/arenda-dizaynerskaya-2k-novostroy-tsentr-realnyy-variant-IDD023L.html#6cb1c79bfd,"
13 103 грн.
"
"
Сдам 1к.кв.на Героев труда
",https://www.olx.ua/obyavlenie/sdam-1k-kv-na-geroev-truda-IDD3IB9.html#6cb1c79bfd,"
9 162 грн.
"
"
Центр под жилье или офис сдам 2-х комнатную квартиру м. Пушкинская
",https://www.olx.ua/obyavlenie/tsentr-pod-zhile-ili-ofis-sdam-2-h-komnatnuyu-kvartiru-m-pushkinskaya-IDDtcKW.html#6cb1c79bfd;promoted,"
11 793 грн.
"
"
Сдам квартиру 522 мрн
",https://www.olx.ua/obyavlenie/sdam-kvartiru-522-mrn-IDEGBCm.html#6cb1c79bfd,"
11 000 грн.
"
"
Сдам однокомнатную квартиру
",https://www.olx.ua/obyavlenie/sdam-odnokomnatnuyu-kvartiru-IDE4fte.html#6cb1c79bfd,"
5 500 грн.
"
"
Сдам 2х комн.кв, на м Студенческая,Салтовка
",https://www.olx.ua/obyavlenie/sdam-2h-komn-kv-na-m-studencheskaya-saltovka-IDEGxA1.html#6cb1c79bfd,"
13 000 грн.
"
"
Сдам 3комн.квартиру ЦЕНТР
",https://www.olx.ua/obyavlenie/sdam-3komn-kvartiru-tsentr-IDE9llw.html#6cb1c79bfd,"
11 000 грн.
"
"
2 ком.квартира
",https://www.olx.ua/obyavlenie/2-kom-kvartira-IDDF109.html#6cb1c79bfd,"
7 592 грн.
"
"
Сдам 1-к.кв. м.Студенческая с евроремонтом
",https://www.olx.ua/obyavlenie/sdam-1-k-kv-m-studencheskaya-s-evroremontom-IDEGuSb.html#6cb1c79bfd;promoted,"
9 500 грн.
"
"
Хозяйка! Cдам 2-х комнатную кв. с евроремонтом возле м. Героев труда
",https://www.olx.ua/obyavlenie/hozyayka-cdam-2-h-komnatnuyu-kv-s-evroremontom-vozle-m-geroev-truda-IDEGtJf.html#6cb1c79bfd,"
11 780 грн.
"
"
Сдам 2-комн.кв. на длительный срок в центре города.
",https://www.olx.ua/obyavlenie/sdam-2-komn-kv-na-dlitelnyy-srok-v-tsentre-goroda-IDEnhWR.html#6cb1c79bfd,"
9 000 грн.
"
"
Владелец Сдаст 2кв пешком к Метро
",https://www.olx.ua/obyavlenie/vladelets-sdast-2kv-peshkom-k-metro-IDzBJDY.html#6cb1c79bfd,"
6 000 грн.
"
"
Сдам однокомнатную квартиру. Салтовка
",https://www.olx.ua/obyavlenie/sdam-odnokomnatnuyu-kvartiru-saltovka-IDAeiXs.html#6cb1c79bfd,"
5 765 грн.
"
"
Сдам 3-хкомнатную квартиру. Героев труда.
",https://www.olx.ua/obyavlenie/sdam-3-hkomnatnuyu-kvartiru-geroev-truda-IDEGnkH.html#6cb1c79bfd,"
13 089 грн.
"
"
Сдам квартиру-студию.Р-н ст.метро Ак. Павлова
",https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-r-n-st-metro-ak-pavlova-IDAgIQ0.html#6cb1c79bfd,"
5 241 грн.
"
"
Сдам изол. гостинку порядочным людям
",https://www.olx.ua/obyavlenie/sdam-izol-gostinku-poryadochnym-lyudyam-IDBdiW0.html#6cb1c79bfd,"
5 500 грн.
"
"
Сдам 1 к ул.Метростроителей,2/9 M39
",https://www.olx.ua/obyavlenie/sdam-1-k-ul-metrostroiteley-2-9-m39-IDECwRw.html#6cb1c79bfd,"
5 000 грн.
"
"
Сдается уютная однокомнатная квартира
",https://www.olx.ua/obyavlenie/sdaetsya-uyutnaya-odnokomnatnaya-kvartira-IDBhH9l.html#6cb1c79bfd,"
5 757 грн.
"
"
Сдам 2-х комнатную квартиру на Алексеевке
",https://www.olx.ua/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-na-alekseevke-IDEGkrw.html#6cb1c79bfd,"
7 853 грн.
"
"
Сдам крутую гостинку в новострое, очень выгодное предложение!
",https://www.olx.ua/obyavlenie/sdam-krutuyu-gostinku-v-novostroe-ochen-vygodnoe-predlozhenie-IDBmiWJ.html#6cb1c79bfd,"
5 765 грн.
"
